a bit	mot chut, mot ti
a few	mot it, mot vai
a little	nho, mot it
abandon	bo, tu bo
abandoned	bi bo roi, bi ruong bo
ability	kha nang, nang luc
able	co nang luc, co tai
about	khoang, ve
above	o tren, len tren
abroad	o, ra nuoc ngoai, ngoai troi
absence	su vang mat
absent	vang mat, nghi
absolute	tuyet doi, hoan toan
absolutely	tuyet doi, hoan toan
absorb	thu hut, hap thu, loi cuon
abuse	long hanh, lam dung
academic	thuoc hoc vien, dh, vien han lam
accent	trong am, dau trong am
accept	chap nhan, chap thuan
acceptable	co the chap nhan, chap thuan
access	loi, cua, duong vao
accident	tai nan, rui ro
accidental	tinh co, bat ngo
accidentally	tinh co, ngau nhien
accommodation	su thich nghi, dieu tiet
accompany	di theo, di cung, kem theo
according to	theo, y theo
account	tai khoan, ke toan; tinh toan, tinh den
accurate	dung dan, chinh xac, xac dang
accurately	dung dan, chinh xac
accuse	to cao, buoc toi, ket toi
achieve	dat duoc, danh duoc
achievement	thanh tich, thanh tuu
acid	axit
acknowledge	cong nhan, thua nhan
acquire	danh duoc, dat duoc, kiem duoc
across	qua, ngang qua
act	hanh dong, hanh vi, cu chi, doi xu
action	hanh dong, hanh vi, tac dong
active	tich cuc hoat dong, nhanh nhen
actor	dien vien
actress	dien vien
actual	thuc te, co that
actually	hien nay, hien tai
adapt	tra, lap vao
add	cong, them vao
addition	tinh cong, phep cong
additional	them vao, tang them
address	dia chi, de dia chi
adequate	day, day du
adequately	tuong xung, thoa dang
adjust	sua lai cho dung, dieu chinh
admiration	su kham phuc,nguoi kp, than phuc
admire	kham phuc, than phuc
admit	nhan vao, cho vao, ket hop
adopt	nhan lam con nuoi, bo me nuoi
adult	nguoi lon, nguoi truong thanh; truong thanh
advance	su tien bo, tien len; dua len, de xuat
advanced	tien tien, tien bo, cap cao
advantage	su thuan loi, loi ich, loi the
adventure	su phieu luu, mao hiem
advertise	bao cho biet, bao cho biet truoc
advertisement	quang cao
advertising	su quang cao, nghe quang cao
advice	loi khuyen, loi chi bao
advise	khuyen, khuyen bao, ran bao
affair	viec
affect	lam anh huong, tac dong den
afford	co the, co du kha nang, dieu kien
afraid	so, so hai, hoang so
after	sau, dang sau, sau khi
afternoon	buoi chieu
afterwards	sau nay, ve sau, roi thi, sau day
again	lai, nua, lan nua
against	chong lai, phan doi
age	tuoi
aged	gia di
agency	tac dung, luc; moi gioi, trung gian
agent	dai ly, tac nhan
aggressive	xam luoc, hung hang
ago	truoc day
agree	dong y, tan thanh
agreement	su dong y, tan thanh; hiep dinh, hop dong
ahead	truoc, ve phia truoc
aid	su giup do; them vao, phu vao
aim	su nham , muc tieu, y dinh; nham, tap trung, huong vao
aircraft	may bay, khi cau
alarm	bao dong, bao nguy
alarming	lam lo so, lam hot hoang, lam so hai
alcohol	ruou con
alcoholic	ruou; nguoi nghien ruou
alive	song, van con song, con ton tai
all	tat ca
all right	tot, on, khoe manh; duoc
allied	lien minh, dong minh, thong
allow	cho phep, de cho
ally	nuoc dong minh, lien minh; lien ket, lien minh, ket thong gia
alone	co don, mot minh
along	doc theo, theo; theo chieu dai, suot theo
apple	qua tao
hello	xin chao
